Крымскотатарский;Русский
Кириш сёз;Предисловие
Лаф этейк;Поговорим
Бири къырымтатарджа анълай, грамматиканынъ эсасларыны биле, амма озю лаф этип башласа, зор ола.;К сожалению, сегодня нередко встречается ситуация, когда человек понимает крымскотатарский язык, знает основыграмматики, но сам говорит по-крымскотатарски с трудом.
Де керекли бир сёз тапып оламай, де агъзындан къулакъкъа терс кельген бир калька чыкъа, де даа бир шей. Языкъ ки, бугунь сыкъ раст кельген бир ал.;Или не может вспомнить нужное слово, или использует режущие ухо кальки, или сталкивается с другими сложностями.
Бир тильни яхшы бильмек истесенъиз, шу тильде лаф этмек керексинъиз. Не къадар чокъ лаф этсенъиз, о къадар яхшы.;Но если вы xотите хорошо знать язык, нужно на этом языке говорить, и чем больше, тем лучше.
Лаф этмесенъиз де, окъугъан китапларынъыз, къатангъан дерслеринъиз бошуна кетер.;Если не пользоваться языком в общении, то пользы от прочитанных книг и посещённых занятий не будет почти никакой.
Иште, къырымтатарджа зайыф бильген ве бу себептен лаф этмеге утангъан адамларгъа ярдым этмек ниетинен бу китапны азырладыкъ.;Для того, чтобы помочь людям, которые слабо владеют крымскотатарским языком и поэтому стесняются на нём говорить, мы и подготовили эту книгу.
Къырымтатар тилини огренмеге башлагъанларгъа да бу китап къырымтатарджа биринджи сёзлер айтмагъа ярдымджы олур.;Также она будет полезна людям, которые изучают крымскотатарский и собираются сказать свои первые слова на этом языке.
Эльбетте, бу иште биринджи дегильмиз, кечкен 30 йыл ичинде бир къач русча-къырымтатарджа сёйлешюв китабы чыкъты, бу джумледен Аблязиз Велиевнинъ, Айдер Меметовнынъ, Энвер Озенбашлынынъ, Наиля Гъаниева ве Людмила Брюхованынъ азырлагъан китаплары.;Конечно, мы не первые в этом деле, за последние 30 лет уже было издано несколько русско-крымскотатарских разговорников, составленных Аблязизом Велиевым, Айдером Меметовым, Энвером Озенбашлы, Наилей Ганиевой и Людмилой Брюховой.
Бизден эвель чалышкъанларнынъ теджрибесинден файдаланып озь китабымызны даа толу, даа земаневий яни бугуньки аятымызнынъ керчеклерини косьтерсин деп япмагъа тырыштыкъ.;Использовав опыт авторов, работавших до нас, мы постарались сделать нашу книгу более полной и современной, отражающей реалии сегодняшней жизни.
Китабымыз мукеммель олмагъаныны анълап, сизден ярдым беклеймиз.;Мы понимаем, что наша книга не является идеальной и ждём вашей помощи в деле её улучшения.
Фикир, теклиф ве тенкъитлеринъизни tezis.dom@gmail.com адресине ёллай билесинъиз.;Ваши идеи, предложения и критические замечания вы можете присылать на адрес tezis.dom@gmail.com.
Къонушма;Общение
Корюшюв;Встреча
Селямлашув;Приветствие
Селям алейкум!;Здравствуйте!
Алейкум селям!;Здравствуйте!
Мераба!;Здравствуй!
Я мераба!;Здравствуй!
Селям!;Привет!
Алейкум селям!;Привет!
Саба шерифлеринъиз хайырлы олсун!;Доброе утро!
Хайырлы куньлер!;Добрый день!
Акъшам шерифлеринъиз хайырлы олсун!;Добрый вечер!
Сизни корьген бей олсун!;Рад вас видеть!
Пек мемнюним!;Я очень рад!
Мени таныдынъызмы?;Вы меня узнали?
Мени танымайсынъмы ёкъса?;Разве ты меня не узнаёшь?
Къырымдан селямлар!;Привет из Крыма!
Сизни чокътан корьмедим;Давно вас не видел
Корюшкенимиз олды!;Как хорошо, что мы встретились!
Хитап;Обращение
Къартана;Бабуля
Къартана;Бабушка
Агъа;Брат
Къардашым;Братишка
Эфендилер;Господа
Эфенди;Господин
Ханым;Госпожа
Ханымлар ве эфендилер;Дамы и господа
Къызым;Девочка
Акъыз;Девушка
Къартбаба;Дедуля
Къартбаба;Дедушка
Балалар;Дети
Балаларым;Дети мои
Балам;Дитя моё
Къыйметли мусафирлер;Дорогие гости
Джаным;Дорогой мой
Асабам;Дружок
Достум;Друг мой
Джан-достум;Друг мой сердечный
Къызым;Доченька
Агъа;Дядя
Агъа;Дяденька
Эмдже;Дядя
Эмдже;Дяденька
Дайы;Дядя
Дайы;Дяденька
Диндашым;Единоверец
Семетдешлер;Земляки
Ишдешим;Коллега
Зенаатдашым;Коллега
Джемаат!;Люди!
Джемаат!;Народ!
Огълум;Мальчик
Анам;Мама
Азизим;Милый мой
Эфендим;Молодой человек
Койдешим;Односельчанин
Аякъчы;Официант
Софраджы;Официант
Бабам;Папа
Олян;Парень
Балалар;Ребята
Тувгъаным;Родной мой
Къомшу;Сосед
Огълум;Сынок
Ала;Тётя
Ала;Тётенька
Апте;Тётя
Апте;Тётенька
Тата;Тётя
Тата;Тётенька
Дуду;Тётя
Дуду;Тётенька
Тизе;Тётя
Тизе;Тётенька
Аддашым;Тёзка
Аркъадашым;Товарищ
Урьметли мусафирлер;Уважаемые гости
Сайгъылы джемаат!;Уважаемые собравшиеся!
Сайгъылы ватандашлар!;Уважаемые соотечественники!
Оджам;Учитель
Эй, сен!;Эй, ты!
Танышув;Знакомство
Таныш олайыкъмы?;Познакомимся?
Селям алейкум, адынъыз не?;Здравствуйте, как вас зовут?
Мында отурсам олурмы?;Можно мне здесь присесть?
Сизге къошулсам, къаршы олмазсынъызмы?;Вы не против, если я присоединюсь к вам?
Бизге къошулмакъ истейсинъизми?;Не хотите присоединиться к нашей компании?
Бир къаве ичерсинъизми?;Могу я вас угостить чашечкой кофе?
Телефон номеранъызны айта билесинъизми?;Могу попросить у вас номер телефона?
Эвеллери корюшкен эдикми?;Мы встречались раньше?
Менимдже, биз корюшмегенмиз;По-моему, мы раньше не встречались
Бет сыманъыз манъа таныш келе;Ваше лицо кажется мне знакомым
Мен сизни бир ерде корьгендирим;Я, кажется, где-то вас видел
Сиз мени танымадынъызмы?;Вы меня не узнали?
Биз энди танышмыз;Мы с вами знакомы
Сизнен таныш олмагъа пек истейим;Я очень хочу с вами познакомиться
Озюмни таныштырайым;Разрешите представиться
Меним адым;Меня зовут
Меним сойадым;Моя фамилия
Таныш этейим;Разрешите представить
Таныш олунъыз, бу Бекир;Знакомьтесь, это Бекир
Сизни иле таныш этмек истейим;Я хочу познакомить вас с
Таныш олунъыз, бу меним омюр аркъадашым;Познакомьтесь, это мой супруг
Бу меним достум;Это мой друг
Онынъ ады;Его зовут
Пек мемнюним;Очень приятно
Бир-биримизге «сен» деп айтайыкъ;Давайте перейдём на «ты»
Нечюн манъа «сен» деп айтасынъыз?;Почему вы ко мне на «ты»?
Къайда окъуйсынъ?;Ты где учишься?
Къырым муэндислик ве педагогика университетинде окъуйым;Я учусь в Крымском инженернопедагогическом университете
Къайда чалышасынъ?;Где ты работаешь?
Туристик бир ширкетте менеджер олып чалышам;Я работаю менеджером в турфирме
Догъгъан кунюнъ не вакъыт?;Когда у тебя день рождения?
Догъгъан кунюм мартнынъ он экиси;Мой день рождения 12 марта
Къач яшындасынъыз?;Сколько вам лет?
Йигирми яшындам;Мне 20 лет
Мен Алуштада яшайым;Я живу в Алуште
Мен мусафирханеде ерлештим;Я остановился в гостинице
Мен мусафирханеде къондым;Я остановился в гостинице
Мен достларымнынъ эвинде ерлештим;Я остановился у друзей
Мен достларымнынъ эвинде къондым;Я остановился у друзей
Къайдан кельдинъиз?;Откуда вы приехали?
Тюркиеден кельдим;Я приехал из Турции
Бу ерде биринджи сеферсинъизми?;Вы тут впервые?
Акъайынъызнен кельдинъизми?;Вы пришли с мужем?
Эвеллери бу ерге кельген эдинъизми?;Вы бывали здесь раньше?
Мен бир озюм кельдим;Я приехал один
Мен апайымнен кельдим;Я приехал с женой
Мен баламнен кельдим;Я приехал с ребёнком
Мен апайым ве балаларымнен кельдим;Я приехал с женой и детьми
Къырымда къорантамнен раатланамыз;Мы в Крыму отдыхаем с семьёй
Биз туристмиз;Мы туристы
Чокътан берли Къырымгъа кельмеге истеген эдим;Я давно хотел побывать в Крыму
Сизни эвиме мусафирликке давет этмек истейим;Хочу пригласить вас в гости
Энди кетесинъизми?;Уже уходите?
Даа корюширмизми?;Ещё встретимся?
Таныш олгъанымыздан пек мемнюним;Приятно было познакомиться
Сизнен таныш олгъаныма юрегим хош;Я очень рад нашему знакомству
Корюшеджегимизге умют этем;Надеюсь, что мы еще встретимся
Мен сизге язарым;Я вам напишу
Беклерим;Я буду ждать
Вакъытны пек яхшы кечирдим;Я прекрасно провёл время
Корюшкендже!;До встречи!
Файдалы сёзлер;Полезные слова
Мусафир;Гость
Догъгъан куню;День рождения
Дост;Друг
Ад;Имя
Баба ады;Отчество
Ашна;Приятель
Къоранта;Семья
Аиле;Семья
Сойады;Фамилия
Тиль;Язык
Къырымтатарджа лаф этесинъизми?;Вы говорите покрымскотатарски?
Мен ана тилимде яхшы лаф этем;Я хорошо говорю на родном языке
Бираз лаф этем;Немного говорю
Мен тек бир къач сёз билем;Я знаю лишь несколько слов
Къырымтатарджа пек ярамай лаф этем;Я очень плохо говорю по-крымскотатарски
Мен къырымтатарджа лаф этмейим;Я не говорю покрымскотатарски
Мен къырымтатар тилини бильмейим;Я не знаю крымскотатарского языка
Ана тилимде ярамай лаф этем;Я плохо говорю на родном языке
Мен къырымтатарджа анълайым, амма лаф этип оламайым;Я только понимаю по-крымскотатарски, а говорить не могу
Теляффузынъызда пек аз янълыш бар;Ваше произношение почти без ошибок
Акцентинъиз бар;Вы говорите с акцентом
Текаран акцентинъиз бар;У вас небольшой акцент
Кучьлю акцентинъиз бар;У вас сильный акцент
Мен къырымтатар тилини бегенем;Мне нравится крымскотатарский язык
Озь ана тилини севмек керек;Надо любить свой родной язык
Ана тилинъиз не?;Какой язык ваш родной?
Ана-бабам эвде къырымтатарджа лаф эте;Мои родители говорят дома покрымскотатарски
Къартанам меннен къырымтатарджа, ана-бабам исе русча лаф эте эди;Бабушка говорила со мной по-крымскотатарски, а родители – по-русски
Сиз русча лаф этесинъизми?;Вы говорите по-русски?
Сиз украиндже лаф этесинъизми?;Вы говорите по-украински?
Сиз инглиздже лаф этесинъизми?;Вы говорите по-английски?
Сиз тюркче лаф этесинъизми?;Вы говорите по-турецки?
Къайсы тиллерде лаф эте билесинъиз?;На каких языках вы говорите?
Мен тек рус тилинде лаф этем;Я говорю только порусски
Тюркче де билесинъзми?;Вы знаете и турецкий тоже?
Эбет, эм де бираз къазахча;Да, и немного казахский
Бу тиллер бир-бирине баягъы ошай;Эти языки достаточно похожи
Тиллер огренмек меракълыдыр;Учить языки интересно
Мен къырымтатарджа лаф этмек огренмеге истейим;Я хочу научиться говорить покрымскотатарски
Мен къырымтатар тилинде бираз окъуйым;Я немного читаю покрымскотатарски
